author,media
"Alexander Emelin",-6.0
"Jorge Coca",-6.0
"Elijah Luckey",-5.0
mcmah309,-5.0
"Abdelaziz Mahdy",-4.0
"Andrea Antonello",-4.0
"Ben Vercammen",-4.0
"Charles Crete",-4.0
"Esteve Aguilera",-4.0
"Jackson Bullard",-4.0
"Jeremiah Jenkins",-4.0
"Milan Zimmermann",-4.0
Noobware1,-4.0
"Pavan Podila",-4.0
"Russell Wheatley",-4.0
"Sebastian Büchler",-4.0
gaaclarke,-4.0
"Michael Carter",-3.90909090909091
befovy,-3.76811594202899
Nikechukwu,-3.4
navispatial,-3.00826446280992
"Alberto Montes de Oca",-3.0
"Alexey Knyazev",-3.0
"Anton Astashov",-3.0
Babak,-3.0
"Brett Morgan",-3.0
"Daiki Kajiwara",-3.0
"Daniel Cachapa",-3.0
"Do Tuan Anh",-3.0
"Elte Hupkes",-3.0
Ephenodrom,-3.0
"Ilya Beregovskiy",-3.0
"Ivan Semkin",-3.0
"Jack Morris",-3.0
"John Ryan",-3.0
"Keal Jones",-3.0
LinJi,-3.0
"Luca Maltagliati",-3.0
"Luka Rahne",-3.0
"Lukas Schmierer",-3.0
"Luke Freeman",-3.0
"Maciej Brażewicz",-3.0
"Marcelo Soares",-3.0
"Michael Klimushyn",-3.0
"Mohamed Al-Kainai",-3.0
"Olzhas Suleimen",-3.0
"Omar Hanafy",-3.0
"SUDA Mikihrio",-3.0
"Sasha Denisov",-3.0
"Sasha Prokhorenko",-3.0
Shawn,-3.0
Stuart,-3.0
Tkko,-3.0
"Tobias Schwackenhofer",-3.0
"Todd Beckman",-3.0
Tomucha,-3.0
Vanvixi,-3.0
"Victor Carreras",-3.0
"Vinicius Figueiredo Rodrigues",-3.0
androidseb,-3.0
bonesyblue,-3.0
es,-3.0
koutja,-3.0
linzhiliang,-3.0
mbkim95,-3.0
okrad,-3.0
ronnnnn,-3.0
wangxin,-3.0
xiaoli,-3.0
"李健莹",-3.0
birjuvachhani,-2.94736842105263
"Joe Conway",-2.93511988716502
"Bartek Pacia",-2.90909090909091
"Smai Fullerton",-2.90909090909091
ratakondalaarun,-2.9
"Andre Lipke",-2.88524590163934
touge,-2.85567010309278
"Filip Hracek",-2.83333333333333
"Björn Sperber",-2.81818181818182
rydmike,-2.81054365733114
"Roel Spilker",-2.8
"Felix Blaschke",-2.75
Googler,-2.69767441860465
"Achilleas Anagnostopoulos",-2.66666666666667
pbissonho,-2.66666666666667
imaNNeoFighT,-2.65151515151515
deboer,-2.63636363636364
suragch,-2.59375
"Anatoly Pulyaevskiy",-2.56149732620321
"Đào Hoàng Sơn",-2.55172413793103
Kabo,-2.48
"Lasse R.H. Nielsen",-2.47826086956522
Lulupointu,-2.43478260869565
"Philippe Fanaro",-2.43312101910828
"Sterling Long",-2.42307692307692
"Greg Littlefield",-2.4
"Schaban Bochi",-2.3921568627451
"Martin Kamleithner",-2.26666666666667
"Joan Pablo",-2.25
"Matan Lurey",-2.22222222222222
"Nicolas Werner",-2.22222222222222
"Ivan Dlugos",-2.21739130434783
"Aaron Madlon-Kay",-2.2
"Gabriel Terwesten",-2.2
Copilot,-2.16949152542373
Isak,-2.16666666666667
"Mike Rydstrom",-2.13934426229508
fzyzcjy,-2.10526315789474
Renan,-2.09090909090909
sarbagyastha,-2.09090909090909
creativecreatorormaybenot,-2.05882352941176
rikbellens,-2.05238095238095
"Plague Fox",-2.04166666666667
Abitofevrything,-2.02857142857143
"Lukas Renggli",-2.02608695652174
"Sam Rawlins",-2.02
stuartmorgan,-2.01754385964912
"Mark Mooibroek",-2.01276595744681
erlage,-2.01056338028169
=,-2.0
"Aaron Barrett",-2.0
"Adrian Samoticha",-2.0
"Ahmed Elsayed",-2.0
Alexander,-2.0
"Alexander Mudzo",-2.0
"Alexandru Dochioiu",-2.0
Alfreedom,-2.0
AliAmmar,-2.0
"Alvaro Vasconcelos",-2.0
"Andrea Baron",-2.0
"Andrew Chen",-2.0
"Andrzej Nowak",-2.0
"Aneesh Rao",-2.0
"Angelo Polotto",-2.0
"Anna Leushchenko",-2.0
"Anton Cherkashyn",-2.0
"AntØn UstinØff",-2.0
"António Pedro",-2.0
"Anurag Devanapally",-2.0
"Artem IG",-2.0
"Arto Bendiken",-2.0
"Bartosz Selwesiuk",-2.0
"Ben Hagen",-2.0
"Ben Hills",-2.0
