testsmell,AR,CTL,DA,EH,ET,IT,MN,PSF,RO,SE,SF,TWD,UT,VT
AR,12691,2249,10881,959,59,107,8546,372,599,1217,437,33,1520,3109
CTL,2249,2791,2471,496,25,57,2312,260,231,384,223,6,733,1138
DA,10881,2471,13136,998,60,123,8729,536,778,1234,464,33,2319,3415
EH,959,496,998,1141,14,18,917,122,94,281,153,1,374,537
ET,59,25,60,14,433,10,53,6,9,9,3,18,433,34
IT,107,57,123,18,10,136,109,19,21,8,10,0,65,52
MN,8546,2312,8729,917,53,109,11132,499,623,1092,421,32,2020,2960
PSF,372,260,536,122,6,19,499,654,74,82,51,2,220,202
RO,599,231,778,94,9,21,623,74,1107,72,34,3,359,343
SE,1217,384,1234,281,9,8,1092,82,72,1488,63,1,248,560
SF,437,223,464,153,3,10,421,51,34,63,506,0,133,226
TWD,33,6,33,1,18,0,32,2,3,1,0,52,28,11
UT,1520,733,2319,374,433,65,2020,220,359,248,133,28,3984,906
VT,3109,1138,3415,537,34,52,2960,202,343,560,226,11,906,3811
